dt0,fx0,weather,sales
2013-06,1.5496829411764708,9.05,42.25
2013-07,1.518293846153846,20.055999999999997,117.16129032258064
2013-08,1.5500053846153843,17.451999999999998,112.25806451612904
2013-09,1.5866550000000001,14.008333333333333,86.16666666666667
2013-10,1.6087444444444448,12.648000000000001,134.25806451612902
2013-11,1.6104448000000002,7.749999999999999,255.06666666666666
2013-12,1.6377434615384616,9.071999999999997,497.61290322580646
2014-01,1.646346923076923,8.8741935483871,456.64516129032256
2014-02,1.65605375,10.075,401.7857142857143
2014-03,1.6618073076923077,10.5,345.1290322580645
2014-04,1.6738464,11.283333333333331,304.23333333333335
2014-05,1.6838353846153842,13.364516129032257,302.7741935483871
2014-06,1.6914442307692308,15.406666666666668,221.0
2014-07,1.7074637037037035,18.006451612903223,252.5483870967742
2014-08,1.6695753846153847,14.232258064516127,229.80645161290323
2014-09,1.629302692307692,14.976666666666667,190.96666666666667
2014-10,1.6069514814814814,13.380645161290326,347.93548387096774
2014-11,1.5769711999999998,10.24,407.2
2014-12,1.5628746153846154,8.454838709677418,417.48387096774195
2015-01,1.5137091999999999,7.216129032258066,386.2258064516129
2015-02,1.5323441666666664,8.325,412.07142857142856
2015-03,1.4972577777777778,9.119354838709677,308.4516129032258
2015-04,1.4951642307692312,11.16,279.1
2015-05,1.5444511538461536,12.490322580645161,257.16129032258067
2015-06,1.5584346153846151,15.343333333333334,283.0
2015-07,1.5550334615384611,15.474193548387095,308.06451612903226
2015-08,1.5574499999999998,15.45483870967742,509.06451612903226
2015-09,1.5328438461538458,13.009999999999998,472.1333333333333
2015-10,1.5325980769230765,12.219354838709679,733.0322580645161
2015-11,1.5189350000000001,10.736666666666668,928.7
2015-12,1.4988765384615381,11.993548387096773,882.8387096774194
2016-01,1.4388304000000003,7.870967741935482,766.3548387096774
2016-02,1.4295391666666666,7.56551724137931,1044.4137931034484
2016-03,1.4255403703703702,8.825806451612902,963.3548387096774
2016-04,1.4300300000000001,9.653333333333334,1074.6
2016-05,1.4514933333333333,12.580645161290324,1067.3548387096773
2016-06,1.4195665384615386,14.49,1048.5
2016-07,1.31435,17.038709677419355,1319.6129032258063
2016-08,1.3091877777777783,16.829032258064515,1604.032258064516
2016-09,1.3142488461538462,15.136666666666667,1686.3
2016-10,1.2338996153846153,11.532258064516133,2079.6129032258063
2016-11,1.2441384615384616,8.979310344827585,2582.233333333333
2016-12,1.2489845833333333,8.693548387096774,2437.7096774193546
2017-01,1.2346423999999998,6.67,1726.774193548387
2017-02,1.247957391304348,9.992857142857144,1899.892857142857
2017-03,1.234286296296296,10.961290322580645,1820.3225806451612
2017-04,1.2641736000000001,10.776666666666666,1497.8333333333333
2017-05,1.2919807407407407,14.390322580645165,1744.225806451613
2017-06,1.2803596153846155,16.466666666666665,1757.9
2017-07,1.300111923076923,15.845161290322583,2128.7096774193546
2017-08,1.2954566666666667,15.280645161290325,2180.9032258064517
2017-09,1.3310244,13.106666666666666,2205.266666666667
2017-10,1.3201288888888887,12.525806451612905,3219.967741935484
2017-11,1.3222865384615388,9.116666666666665,3559.1666666666665
2017-12,1.3398652173913042,8.335483870967742,2890.1935483870966
2018-01,1.381355925925926,7.592307692307691,2481.967741935484
2018-02,1.3962883333333334,5.543478260869565,2170.0
2018-03,1.3968015384615384,7.619230769230769,2237.483870967742
2018-04,1.4051052,12.264,1741.5666666666666
2018-05,1.3456937037037038,14.39615384615385,1887.774193548387
2018-06,1.3286680000000002,16.54,1721.3333333333333
2018-07,1.3220439999999998,16.315384615384612,1535.7777777777778
